메뉴 이름	메뉴 Path
공급망 모델	supplychainmodel
거점 포장	sitepacking
계획 정책	planpolicy
계획 시나리오	planscenario
수요 예측	baselineforecast
수요 예측 현황	baselineforecastestate
사전 분석	eda
예측 대상 분석	abcanalysis
판매 실적 분석	salesanalysis
예측 인자 분석	factoranalysis
인자 통계 보고서	factorstats
시뮬레이션	version
수요 예측	controlboard
수요 예측 수행	iscontrolboard
계획 결과	report
수요 예측 결과 (요약)	accuracyanalysisreport
수요 예측 결과 (상세)	forecastresult
예측 에러	forecasterror
예측 에러 비교	errorcompare
버전 별 결과 비교	versioncompare
버전 별 에러 비교	versionerrorcompare
수요 예측 정확도 (추이)	bfktng03
수요 예측 정확도 (상세)	accuracy
판매 계획	demandplan
판매 현황	salesstate
판매 계획 현황	demandplanboard
기준정보	master
UI_DP_VALIDATION	validation
Cut-Off & 입력 현황	version
판매계획 Cut-Off	controlboard
판매계획 입력 현황	processstatus
계획 프로세스 설정	controlboardmaster
계획 정책 설정	planpolicy
판매계획 입력 로그	entrylog
판매계획 입력	entry
판매계획 입력	entry
판매계획 PSI (직수출 유통 X)	dpktng06
판매계획 PSI (직수출 유통 O)	dpktng05
판매계획 PSI (판매법인)	dpktng07
판매계획 PSI (CC/NGP 내수)	dpktng09
판매계획 입력 (Chart)	entrychart
판매계획 보고서 (전체)	allreport
판매계획 보고서 Chart (전체)	allreportchart
판매 계획 점검	entrynotify
보고서	report
판매 성과	salesperformance
실적-판매 비교	comparesalesdp
판매 계획 점검 (거래처)	planchecksales
판매 계획 점검 (품목)	plancheckitem
공급가능 분석	rtfanalysis
버전 별 판매 계획 비교	compareversion
버전 추이 비교	compareverprogress
주문-계획 차감 결과	demandorder
수출 수요 적정성 점검	dpktng15
내수 수요 적정성 점검	dpktng17
Stuffing 리포트	dpktng20
For Developer	developer
데모데이터 자동 생성	devmakedata
연간계획	yearlyplan
Cut-Off & 입력 현황	master
연간계획 Cut-Off	controlboard
연간계획 입력 현황	processstatus
연간계획 입력	entry
연간계획 입력	entry
연간계획 입력 (Chart)	entrychart
연간계획 보고서 (전체)	allreport
연간계획 보고서 Chart (전체)	allreportchart
공급 주문 관리	supplyorder
판매 계획분석	dpanalysis
공급 주문 변환	sotransform
공급 주문 분석	soanalysis
공급 주문 보정	soadjust
품목별 공급 주문 추이	soitemtrend
재고 계획	inventoryplan
재고 현황	inventoryboard
거점 재고 현황	inventorylocationboard
기준정보	master
보충계획 대상 관리	rptarget
