moduleCode,category,screenName,isWidget,isPopup,isBase,isSubComponent,menuCd,layoutCategory,patternCode,rawPatternCode,subPattern,confidence,reason,components,apiCalls,callServices,spNames,lines,filePath,relativePath
baselineforecast,common,PopSelectItemLvItem,N,Y,N,N,,POPUP,popup,,popup_grid,high,Pop* file · grid=1,SearchArea:1;WorkArea:1;BaseGrid:1;InputField:2;PopupDialog:1,engine/dp/SRV_GET_UI_BF_00_POPUP_ITEM_Q1,,,147,/baselineforecast/common/PopSelectItemLvItem,view/baselineforecast/common/PopSelectItemLvItem.jsx
baselineforecast,common,PopSelectSalesLvAccount,N,Y,N,N,,POPUP,popup,,popup_grid,high,Pop* file · grid=1,SearchArea:1;WorkArea:1;BaseGrid:1;InputField:2;PopupDialog:1,engine/dp/SRV_GET_UI_BF_00_POPUP_ACCT_Q1,,,145,/baselineforecast/common/PopSelectSalesLvAccount,view/baselineforecast/common/PopSelectSalesLvAccount.jsx
baselineforecast,master,AbcAnalysis,N,N,N,N,UI_BF_17,LAYOUT_SINGLE,search_grid,P02_search_grid,,high,SearchArea + 1 BaseGrid,ContentInner:1;SearchArea:1;SearchRow:1;WorkArea:1;BaseGrid:1;InputField:4;PlanScope:1,baselineforecast/master/getHeatMapLevelsByPlanScope;engine/bf/UpdateHeatSimulation;engine/bf/DoHeatMapLoad;engine/bf/getAbcXyzThld;engine/bf/DoHeatMapReload;engine/bf/DoSaveAbcXyz;engine/bf/DoHeatMapGetTarget;baselineforecast/master/abcAnalysis;engine/dp/SRV_GET_SP_UI_DP_00_LV_CD_Q1,,SP_UI_DP_00_LV_CD_Q1,1541,/baselineforecast/master/AbcAnalysis,view/baselineforecast/master/abcanalysis/AbcAnalysis.jsx
baselineforecast,master,AbcXyzBox,N,N,N,Y,,SUBCOMPONENT,subcomponent,,form_part,high,sub-component folder,,,,,392,/baselineforecast/master/abcanalysis/component/AbcXyzBox,view/baselineforecast/master/abcanalysis/component/AbcXyzBox.jsx
baselineforecast,master,ActualSales,N,N,N,N,UI_BF_05,LAYOUT_SINGLE,search_grid,P02_search_grid,,high,SearchArea + 1 BaseGrid,ContentInner:1;SearchArea:1;SearchRow:1;WorkArea:1;BaseGrid:1;GridCnt:1;GridSaveButton:1;GridExcelExportButton:1;InputField:2;PlanScope:1;PopSelectItem:1;PopSelectAccount:1,engine/dp/SRV_GET_SP_UI_BF_05_Q1;common/json-save,,SP_UI_DP_00_CONF_Q1;SP_UI_DP_00_CONF_Q1_01;SP_UI_DP_00_CONF_Q1_02;SP_UI_DP_00_CONF_Q1_03;SP_UI_BF_05_Q1;SP_UI_BF_05_S1_J,420,/baselineforecast/master/ActualSales,view/baselineforecast/master/actualsales/ActualSales.jsx
baselineforecast,master,Config,N,N,N,N,UI_BF_01,LAYOUT_V2,v2_dual_grid,,,mid,2 BaseGrid no SplitPanel,ContentInner:1;SearchArea:1;SearchRow:1;WorkArea:1;BaseGrid:2;GridCnt:1;GridAddRowButton:1;GridDeleteRowButton:2;GridSaveButton:2;InputField:2;PlanScope:1,engine/dp/SRV_SET_SP_UI_DP_01_;engine/dp/SRV_GET_,,SP_UI_DP_01_,756,/baselineforecast/master/Config,view/baselineforecast/master/config/Config.jsx
baselineforecast,master,DateFactor,N,N,N,N,UI_BF_06,LAYOUT_SINGLE,search_grid,P02_search_grid,,high,SearchArea + 1 BaseGrid,ContentInner:1;SearchArea:1;SearchRow:1;WorkArea:1;BaseGrid:1;GridCnt:1;GridAddRowButton:1;GridDeleteRowButton:1;GridSaveButton:1;GridExcelExportButton:1;InputField:2;PlanScope:1;PopPersonalize:1,engine/dp/SRV_GET_SP_UI_BF_06_Q1;engine/dp/SRV_SET_SP_UI_BF_06_D1;common/json-save,,SP_UI_BF_06_Q1;SP_UI_BF_06_D1;SP_UI_BF_06_D1_P_RT_MSG;SP_UI_BF_06_S1_J,393,/baselineforecast/master/DateFactor,view/baselineforecast/master/datefactor/DateFactor.jsx
baselineforecast,master,Factor,N,N,N,N,UI_BF_09,LAYOUT_SINGLE,search_grid,P02_search_grid,,high,SearchArea + 1 BaseGrid,ContentInner:1;SearchArea:1;SearchRow:1;WorkArea:1;BaseGrid:1;GridCnt:1;GridSaveButton:1;InputField:2;PlanScope:1,engine/dp/SRV_GET_SP_UI_BF_09_Q1;engine/dp/SRV_SET_SP_UI_BF_09_D1,,SP_UI_BF_09_Q1;SP_UI_BF_09_D1;SP_UI_BF_09_D1_P_RT_MSG;SP_UI_BF_09_S1,320,/baselineforecast/master/Factor,view/baselineforecast/master/factor/Factor.jsx
baselineforecast,master,ForecastTarget,N,N,N,N,UI_BF_13,LAYOUT_SINGLE,search_grid,P02_search_grid,,high,SearchArea + 1 BaseGrid,ContentInner:1;SearchArea:1;SearchRow:1;WorkArea:1;BaseGrid:1;GridAddRowButton:1;GridDeleteRowButton:1;GridSaveButton:1;GridExcelExportButton:1;InputField:1;PlanScope:1;PopSelectItem:1;PopSelectAccount:1,engine/dp/SRV_GET_SP_UI_BF_13_Q1;common/json-save;engine/dp/SRV_SET_SP_UI_BF_13_D1;engine/dp/SRV_SET_SP_UI_BF_13_M1,,SP_UI_BF_13_Q1;SP_UI_BF_13_S1_J;SP_UI_BF_13_D1;SP_UI_BF_13_M1,586,/baselineforecast/master/ForecastTarget,view/baselineforecast/master/forecasttarget/ForecastTarget.jsx
baselineforecast,master,heatmap,N,N,N,Y,,SUBCOMPONENT,subcomponent,,form_part,high,sub-component folder,,engine/bf/DoHeatMapDrag,,,810,/baselineforecast/master/abcanalysis/component/heatmap,view/baselineforecast/master/abcanalysis/component/heatmap.jsx
baselineforecast,master,ItemMapFLODiagram,N,N,N,N,,LAYOUT_ROUTELAYOUT,rl_layout_design,rl_layout,,high,route keyword · flo=1,FLODiagram:1,,,,72,/baselineforecast/master/newtargetsalesmap/ItemMapFLODiagram,view/baselineforecast/master/newtargetsalesmap/ItemMapFLODiagram.jsx
baselineforecast,master,NewTargetSalesMap,N,N,N,N,UI_BF_14,LAYOUT_V2,v2_dual_grid,,,mid,2 BaseGrid no SplitPanel,ContentInner:1;SearchArea:1;SearchRow:1;WorkArea:1;BaseGrid:2;GridCnt:1;GridAddRowButton:1;GridDeleteRowButton:1;GridSaveButton:1;GridExcelExportButton:1;InputField:1;PlanScope:1;PopSelectItem:2;PopSelectAccount:2,engine/dp/SRV_GET_SP_UI_BF_14_Q2;engine/dp/SRV_GET_SP_UI_BF_14_CHART_Q2;engine/dp/SRV_GET_SP_UI_BF_14_Q1;common/json-save;engine/dp/SRV_GET_SP_UI_BF_14_CHART_Q1;engine/dp/SRV_SET_SP_UI_BF_14_D1,,SP_UI_BF_14_Q2;SP_UI_BF_14_CHART_Q2;SP_UI_BF_14_Q1;SP_UI_BF_14_S2_J;SP_UI_BF_14_S2_J_P_RT_MSG;SP_UI_BF_14_CHART_Q1;SP_UI_BF_14_D1;SP_UI_BF_14_D1_P_RT_MSG;SP_UI_BF_14_S1_J,1532,/baselineforecast/master/NewTargetSalesMap,view/baselineforecast/master/newtargetsalesmap/NewTargetSalesMap.jsx
baselineforecast,master,SalesFactor,N,N,N,N,UI_BF_07,LAYOUT_SINGLE,search_grid,P02_search_grid,,high,SearchArea + 1 BaseGrid,ContentInner:1;SearchArea:1;SearchRow:1;WorkArea:1;BaseGrid:1;GridCnt:1;GridAddRowButton:1;GridDeleteRowButton:1;GridSaveButton:1;GridExcelExportButton:1;InputField:2;PlanScope:1;PopSelectItem:1;PopSelectAccount:1;PopPersonalize:1,engine/dp/SRV_GET_SP_UI_BF_07_Q1;engine/dp/SRV_SET_SP_UI_BF_07_D1;common/json-save,,SP_UI_BF_07_Q1;SP_UI_BF_07_D1;SP_UI_BF_07_D1_P_RT_MSG;SP_UI_BF_07_S1_J,513,/baselineforecast/master/SalesFactor,view/baselineforecast/master/salesfactor/SalesFactor.jsx
baselineforecast,master,Validation,N,N,N,N,UI_BF_00,LAYOUT_SINGLE,search_grid,P02_search_grid,,high,SearchArea + 1 BaseGrid,ContentInner:1;SearchArea:1;SearchRow:1;WorkArea:1;BaseGrid:1;PlanScope:1,common/data,,SP_UI_BF_DATA_VALIDATION,247,/baselineforecast/master/Validation,view/baselineforecast/master/validation/Validation.jsx
baselineforecast,master,ValidationAccordion,N,N,N,N,,LAYOUT_SINGLE,free_form,,,low,no recognized grid/chart/split components,,,,,59,/baselineforecast/master/validation/ValidationAccordion,view/baselineforecast/master/validation/ValidationAccordion.jsx
